i,GM_RAS,units
1,0,0
2,0,0
3,251015.124510077,45
4,164638.644580411,75
5,118737.881876434,62
6,11400.2630466469,8
7,189858.984423495,28
8,67413.5218069699,93
9,46199.9315752017,73
10,80557.2023520777,15
11,-29234.8467272776,0
12,171864.983643659,26
13,129600.811605344,75
14,29639.4303633448,47
15,9139.89185221672,7
16,14734.7141545045,5
17,100483.600770545,67
18,42741.4694584813,32
19,-27931.5567054046,0
20,238357.497241516,42
21,46911.8830992823,55
22,33347.6268478742,20
23,24599.7438971128,4
24,-9003.15401839779,0
25,164174.944391272,68
26,35593.1364593176,63
27,9894.84359180345,28
28,43289.6850876969,17
29,0,0
30,40774.9216744708,5
31,144007.663136869,38
32,97711.1157476115,86
33,53033.9755794203,50
34,25342.317105474,44
35,15091.4977516301,25
36,-22637.4932799295,0
37,103718.09888129,17
39,150171.367093262,18
40,72288.743722782,38
41,19789.6871836069,56
42,20379.7043401306,46
43,-7545.9955282993,0
44,36305.0879833983,45
45,20857.6144697279,29
46,-7545.9955282993,0
47,26906.9046474135,7
48,149526.087682592,28
49,65578.3990212375,92
50,104683.888597367,33
51,6381.25423498161,24
52,9538.86782976304,37
53,42427.1804635362,40
54,9182.89206772274,46
55,-22696.0493804322,0
56,42556.789151527,15
57,12113.1578666087,2
59,1946.40271869565,6
60,65203.7253633005,9
61,53633.8619751866,22
62,-24616.7079233091,0
63,-6834.04400421865,0
64,-12030.6981640454,0
65,-7190.01976625901,0
66,23958.0366267275,8
67,-20320.4324291886,0
68,-12873.665144163,0
70,83598.0990276479,12
71,113129.141920833,39
72,11133.39531039,28
73,46199.9315752017,73
74,20501.6387076874,38
75,14023.5704655091,52
76,-1423.90304816142,0
77,36305.0879833983,45
78,129695.04916028,93
79,97205.1450332048,12
80,100392.381936724,14
81,14802.5131150254,52
82,31108.4338235715,48
83,13667.5947034688,61
84,3772.75111166539,33
85,62216.8676471431,96
86,84498.3851650322,89
87,116380.747645723,98
88,153819.110298193,34
89,-43901.5496982982,0
91,80708.8734623175,38
92,24986.3413434335,53
93,14735.5219895898,34
94,-1423.90304816142,0
95,24274.3898193528,71
96,73535.6142871078,88
97,68125.4733310505,75
98,22267.0402286133,29
99,-8527.97981062916,0
100,0,0
101,31562.4466660774,8
102,-1067.927286121,0
103,-1423.90304816142,0
104,-711.951524080709,0
105,78732.2684469345,85
106,68125.4733310505,75
107,15091.4977516301,25
108,-3487.95879303259,0
109,-29560.10232484,0
110,-9464.55537637654,0
112,0,0
113,-16201.0499676575,0
114,-11318.7466399648,0
115,-39366.3808759515,0
116,36305.0879833983,45
117,25342.317105474,44
118,9538.86782976304,37
119,-28759.5857600675,0
120,4128.72687370575,24
121,20925.7940274083,16
122,43592.8401217566,5
124,0,0
125,-17756.5938242273,0
126,-10962.7708779244,0
127,-28759.5857600675,0
128,-11318.7466399648,0
129,10606.7951158841,10
130,4484.7026357461,15
131,31820.3853476522,30
132,-6834.04400421865,0
