i,stocking_dairy_temp,stocking_dairy_perm,stocking_dairy_rough,stocking_beef_temp,stocking_beef_perm,stocking_beef_rough,stocking_sheep_temp,stocking_sheep_perm,stocking_sheep_rough,herd_dairy,herd_beef,herd_sheep,ig_herd_dairy,ig_herd_beef,ig_herd_sheep,dairy,beef,sheep
1,3,0.137463890284807,0,0,0.910616270113655,0,0,0,3.0701081144026,11.0484975576401,7.05591005086899,6.58124035596847,0,0,0,11.0484975576401,7.05591005086899,6.58124035596847
2,3,0.125977241776006,0,0,0.903798905250906,0,0,0,4.55202152423053,5.54704892635345,3.54460313916206,4.89896428585052,0,0,0,5.54704892635345,3.54460313916206,4.89896428585052
3,3,0.0652497250534001,0,0,0.867924954440042,0,0,0,1.03333954560199,697.565361022949,447.331350326538,139.797772407532,0,0,0,697.565361022949,447.331350326538,139.797772407532
4,3,0.0447605741657072,0,0,0.855757556760305,0,0,0,1.11720106386075,1165.332862854,748.172943115234,252.480451107025,0,0,0,1165.332862854,748.172943115234,252.480451107025
5,3,0.0738627595682395,0,0,0.873021056555337,0,0,0,1.25457385925017,960.015075683594,615.320735931396,233.596690654755,0,0,0,960.015075683594,615.320735931396,233.596690654755
6,3,0.0766168166505206,0,0,0.874666271539589,0,0,0,1.112397481289,125.379411697388,80.3507013320923,27.0506102442741,0,0,0,125.379411697388,80.3507013320923,27.0506102442741
7,3,0.0910047215389066,0,0,0.883203826220747,0,0,0,1.00781286868519,435.094337463379,278.612533569336,85.0500962734222,0,0,0,435.094337463379,278.612533569336,85.0500962734222
8,3,0.0481182559749625,0,0,0.857756000639744,0,0,0,1.05686062581866,1442.1259765625,925.707824707031,295.576128005981,0,0,0,1442.1259765625,925.707824707031,295.576128005981
9,3,0.0739020841823106,0,0,0.873053497423855,0,0,0,1.43372704326762,1125.94445037842,721.681079864502,313.091543197632,0,0,0,1125.94445037842,721.681079864502,313.091543197632
10,3,0.134532760070055,0,0,0.909290624169631,0,0,0,3.64148175442456,231.688026428223,148.083450317383,163.614624023438,0,0,0,231.688026428223,148.083450317383,163.614624023438
11,3,0.138356821372503,0,0,0.911261188718377,0,0,0,1.51923513505993,37.5422282218933,23.9784082174301,11.0647466778755,0,0,0,37.5422282218933,23.9784082174301,11.0647466778755
12,3,0.0703123746827104,0,0,0.870919136227234,0,0,0,0.967575189690075,408.36693572998,261.79662322998,76.6337385177612,0,0,0,408.36693572998,261.79662322998,76.6337385177612
13,3,0.039250193982835,0,0,0.852485845969664,0,0,0,0.994783272208818,1154.9065246582,741.717163085938,222.799561500549,0,0,0,1154.9065246582,741.717163085938,222.799561500549
14,3,0.122771891604375,0,0,0.902181513299228,0,0,0,2.28920977517703,733.767654418945,469.170949935913,325.787497520447,0,0,0,733.767654418945,469.170949935913,325.787497520447
15,3,0.113353594747055,0,0,0.896459141330578,0,0,0,1.65054105788631,111.859970092773,71.5424418449402,35.8135122060776,0,0,0,111.859970092773,71.5424418449402,35.8135122060776
16,3,0.307465261011909,0,0,1.03036353494072,0,0,0,6.07774683143374,91.3966436386108,59.9521517753601,58.2026205658913,0,0,0,91.3966436386108,59.9521517753601,58.2026205658913
17,3,0.0729182936272895,0,0,0.914656094308107,0,0,0,2.36187389669598,1260.85278320312,868.194702148438,463.862252235413,0,0,0,1260.85278320312,868.194702148438,463.862252235413
18,2.80801036014606,0,0,0,0.958065226164907,0,0,0,3.49074446101975,656.19255065918,575.794101715088,351.073330879211,0,0,0,656.19255065918,575.794101715088,351.073330879211
19,3,0.129673717225729,0,0,0.906099576853341,0,0,0,1.53427404803847,34.4315867424011,22.0011785030365,10.2482546269894,0,0,0,34.4315867424011,22.0011785030365,10.2482546269894
20,3,0.262134916550092,0,0,1.00357856747287,0,0,0,5.95500346154629,661.704399108887,435.401832580566,412.783755302429,0,0,0,661.704399108887,435.401832580566,412.783755302429
21,2.94230203600164,0,0,0,1.04958654977043,0,0,0,11.2845241471254,931.109832763672,890.886039733887,874.647132873535,0,0,0,931.109832763672,890.886039733887,874.647132873535
22,2.12127742543628,0,0,0,1.09187523323962,0,0,0,36.9227220276336,415.355804443359,650.206703186035,603.65398311615,0,0,0,415.355804443359,650.206703186035,603.65398311615
23,2.21847383800568,0,0,0,1.13815981812838,0,0,0.44411005945612,45,84.795802116394,132.410400390625,200.315088272095,0,0,0,84.795802116394,132.410400390625,200.315088272095
24,3,0.468800643539005,0,0,1.12543340402088,0,0,0,5.42742803452454,41.371871471405,26.8649871349335,23.5468086600304,0,0,0,41.371871471405,26.8649871349335,23.5468086600304
25,3,0.266493676334191,0,0,1.00615538999258,0,0,0,6.14280185593508,1076.08709716797,707.849906921387,692.467294692993,0,0,0,1076.08709716797,707.849906921387,692.467294692993
